2018-09-12,9.33
2018-09-13,9.00
2018-09-14,8.83
2018-09-15,8.83
2018-09-16,8.67
2018-09-17,8.50
2018-09-18,8.50
2018-09-19,8.17
2018-09-20,8.17
2018-09-21,8.17
2018-09-22,8.17
2018-09-23,8.00
2018-09-24,7.83
2018-09-25,7.83
2018-09-26,7.67
2018-09-27,7.50
2018-09-28,7.33
2018-09-29,7.17
2018-09-30,6.83
2018-10-01,6.83
2018-10-02,6.67
2018-10-03,6.33
2018-10-04,5.83
2018-10-05,5.67
2018-10-06,5.50
2018-10-07,5.17
2018-10-08,5.17
2018-10-09,5.00
2018-10-10,4.67
2018-10-11,4.67
2018-10-12,4.67
2018-10-13,4.67
2018-10-14,4.67
2018-10-15,4.00
2018-10-16,4.00
2018-10-17,3.67
2018-10-18,3.50
2018-10-19,3.33
2018-10-20,3.33
2018-10-21,3.33
2018-10-22,3.17
2018-10-23,3.17
2018-10-24,3.17
2018-10-25,3.00
2018-10-26,3.00
2018-10-27,2.83
2018-10-28,2.83
2018-10-29,2.67
2018-10-30,2.67
2018-10-31,2.50
2018-11-01,2.50
2018-11-02,2.00
2018-11-03,1.67
2018-11-04,1.00
2018-11-05,0.00
2018-11-06,0.00
2018-11-07,0.00
2018-11-08,0.00
2018-11-09,0.00
2018-11-10,0.00
2018-11-11,0.00
2018-11-12,0.00
2018-11-13,0.00
2018-11-14,0.00
2018-11-15,0.00
2018-11-16,0.00
2018-11-17,0.00
2018-11-18,0.00
2018-11-19,0.00
2018-11-20,0.00
2018-11-21,0.00
2018-11-22,0.00
2018-11-23,0.00
2018-11-24,0.00
2018-11-25,0.00
2018-11-26,0.00
2018-11-27,0.00
2018-11-28,0.00
2018-11-29,0.00
2018-11-30,0.00
2018-12-01,0.00
2018-12-02,0.00
2018-12-03,0.00
2018-12-04,0.00
2018-12-05,0.00
2018-12-06,0.00
2018-12-07,0.00
2018-12-08,0.00
2018-12-09,0.00
2018-12-10,0.00
2018-12-11,0.00
2018-12-12,0.00
2018-12-13,0.00
2018-12-14,0.00
2018-12-15,0.00
2018-12-16,0.00
2018-12-17,0.00
2018-12-18,0.00
2018-12-19,0.00
2018-12-20,0.00
2018-12-21,0.00
2018-12-22,0.00
2018-12-23,0.00
2018-12-24,0.00
2018-12-25,0.00
2018-12-26,0.00
2018-12-27,0.00
2018-12-28,0.00
2018-12-29,0.00
2018-12-30,0.00
2018-12-31,0.00
