long,lat,epsg3413_x,epsg3413_y,elevation,id,meters_from_site,inclination_from_site,bearing_from_site
-149.0821567209,61.8954676394,-3011272.5,755382.5,1872.792,55,2455.222,13.03527729,252.85494815
-149.0819325072,61.8952248732,-3011302.5,755377.5,1899.123,56,2460.508,13.58893383,252.42314873
-149.081417041,61.8947921587,-3011357.5,755362.5,1874.373,57,2465.701,13.01663313,251.59256362
-149.0814394913,61.8948343852,-3011352.5,755362.5,1875.237,58,2463.902,13.0448879,251.66148078
-149.0817987069,61.8955100092,-3011272.5,755362.5,1876.014,59,2436.334,13.20468108,252.7602016
-149.0812601892,61.8946760713,-3011372.5,755357.5,1874.605,60,2466.498,13.01769471,251.35847943
-149.0812826392,61.8947182977,-3011367.5,755357.5,1874.870,61,2464.669,13.03287747,251.4276411
-149.0813050893,61.8947605242,-3011362.5,755357.5,1874.844,62,2462.849,13.04160526,251.4967751
-149.0816643006,61.8954361484,-3011282.5,755357.5,1884.380,63,2434.941,13.39840151,252.59900669
-149.0817092033,61.8955206015,-3011272.5,755357.5,1877.861,64,2431.615,13.27064558,252.73624723
-149.0811257885,61.8946022101,-3011382.5,755352.5,1874.492,65,2465.538,13.02010688,251.19246157
-149.0811482382,61.8946444366,-3011377.5,755352.5,1876.168,66,2463.688,13.0665376,251.26183993
-149.0811706881,61.8946866631,-3011372.5,755352.5,1876.049,67,2461.847,13.0733425,251.33119094
-149.081507444,61.8953200609,-3011297.5,755352.5,1895.120,68,2435.296,13.63541157,252.36804878
-149.0815972483,61.8954889671,-3011277.5,755352.5,1882.657,69,2428.558,13.39387546,252.64341886
-149.0817319568,61.8957423265,-3011247.5,755352.5,1851.864,70,2418.727,12.75439166,253.05554059
-149.0809913885,61.8945283489,-3011392.5,755347.5,1868.183,71,2464.628,12.88545045,251.02556068
-149.081013838,61.8945705754,-3011387.5,755347.5,1871.597,72,2462.757,12.97035279,251.09515587
-149.0810362875,61.8946128019,-3011382.5,755347.5,1874.105,73,2460.895,13.03528094,251.16472405
-149.081260787,61.8950350671,-3011332.5,755347.5,1879.312,74,2442.759,13.24448316,251.8588789
-149.0813730394,61.8952461998,-3011307.5,755347.5,1902.814,75,2434.026,13.81315937,252.20487793
-149.0813954901,61.8952884264,-3011302.5,755347.5,1899.970,76,2432.306,13.7593666,252.27398851
-149.0814179409,61.895330653,-3011297.5,755347.5,1896.890,77,2430.596,13.70017629,252.34306892
-149.0816424523,61.8957529188,-3011247.5,755347.5,1853.026,78,2413.994,12.80481604,253.03217429
-149.0808569892,61.8944544875,-3011402.5,755342.5,1860.260,79,2463.768,12.71458325,250.85777254
-149.0808794384,61.894496714,-3011397.5,755342.5,1863.869,80,2461.876,12.80394218,250.9275847
-149.0811712847,61.895045659,-3011332.5,755342.5,1876.996,81,2438.083,13.21741253,251.83264669
-149.0807450396,61.8944228525,-3011407.5,755337.5,1856.720,82,2461.046,12.64975054,250.75912223
-149.0807674887,61.894465079,-3011402.5,755337.5,1859.535,83,2459.142,12.72165219,250.82912515
-149.0810817823,61.8950562508,-3011332.5,755337.5,1873.405,84,2433.409,13.16177202,251.80629488
-149.0811715831,61.8952251571,-3011312.5,755337.5,1901.030,85,2426.377,13.81532309,252.08445839
-149.0806555392,61.8944334439,-3011407.5,755332.5,1857.468,86,2456.425,12.68938798,250.73017903
-149.0810596299,61.8951935223,-3011317.5,755332.5,1890.256,87,2423.438,13.59102021,251.98898255
-149.0810820801,61.8952357489,-3011312.5,755332.5,1899.464,88,2421.690,13.80610293,252.05864315
-149.0805435899,61.8944018088,-3011412.5,755327.5,1856.877,89,2453.726,12.68976549,250.63074331
-149.0805660386,61.8944440353,-3011407.5,755327.5,1857.153,90,2451.806,12.70552073,250.70110342
-149.0804316409,61.8943701735,-3011417.5,755322.5,1856.754,91,2451.044,12.70046856,250.53081496
-149.0804540894,61.8944124001,-3011412.5,755322.5,1857.159,92,2449.112,12.7191659,250.60136785
-149.0808357245,61.8951302524,-3011327.5,755322.5,1869.399,93,2417.611,13.15476629,251.79659412
-149.0803196922,61.8943385381,-3011422.5,755317.5,1856.490,94,2448.380,12.70794489,250.43039092
-149.0803421405,61.8943807647,-3011417.5,755317.5,1857.072,95,2446.435,12.73068717,250.50113721
-149.0802077437,61.8943069026,-3011427.5,755312.5,1856.890,96,2445.733,12.73017839,250.32946813
-149.0802301918,61.8943491292,-3011422.5,755312.5,1857.528,97,2443.776,12.75425729,250.40040842
-149.0798937677,61.8938952276,-3011477.5,755307.5,1828.636,98,2461.212,12.02499017,249.5867068
-149.079916215,61.8939374542,-3011472.5,755307.5,1830.879,99,2459.166,12.08469957,249.65806371
-149.0799386623,61.8939796808,-3011467.5,755307.5,1832.428,100,2457.128,12.12894161,249.72939679
-149.0799611097,61.8940219074,-3011462.5,755307.5,1834.352,101,2455.099,12.1815773,249.80070582
-149.0799835572,61.894064134,-3011457.5,755307.5,1837.497,102,2453.078,12.2614773,249.87199061
-149.0800957955,61.8942752671,-3011432.5,755307.5,1855.146,103,2443.103,12.70450428,250.22804348
-149.0801182434,61.8943174937,-3011427.5,755307.5,1857.285,104,2441.134,12.76219762,250.29917839
